Protein-protein complex	ΔG (kcal mol-1)	Kd (M) at 25.0 ℃
P50591_P08138	-24.9	5.3E-19	
P50591_P19438	-18.8	1.6E-14	
P50591_P20333	-20.1	1.8E-15	
P50591_P25445	-12.8	4.4E-10	
P50591_P25942	-10.4	2.5E-08	
P50591_P26842	-11.5	3.4E-09	
P50591_P36941	-13.6	1.1E-10	
P50591_Q92956	-14.6	2.0E-11	
P50591_Q9HAV5	-15.8	2.6E-12	
P50591_Q9NS68	-16.7	5.6E-13	
P50591_Q9UBN6	-20.8	5.4E-16	
P50591_Q9Y6Q6	-22.2	5.5E-17	
Q92838_P08138	-14.9	1.2E-11	
Q92838_P28908	-12.6	5.7E-10	
Q92838_Q9HAV5	-12.3	9.7E-10	
Q92838_Q9UNE0	-12.6	6.2E-10	
Q92838_Q9Y6Q6	-13.0	2.7E-10	
O14788_P25942	-12.8	4.1E-10	
O14788_P26842	-13.6	1.1E-10	
O14788_P28908	-19.6	3.9E-15	
O14788_P43489	-16.6	6.2E-13	
O14788_Q9HAV5	-16.6	6.9E-13	
O14788_Q9NS68	-14.0	5.0E-11	
Q06643_P08138	-9.9	5.8E-08	
Q06643_P19438	-9.8	6.7E-08	
Q06643_P20333	-8.4	6.9E-07	
Q06643_Q9UNE0	-7.4	4.0E-06	
O43508_P19438	-12.3	9.4E-10
O43508_P25942	-8.7	4.2E-07
O43508_Q93038	-15.4	5.2E-12
O43557_O14763	-11.1	7.4E-09
O43557_O14836	-8.0	1.3E-06
O43557_O95407	-12.5	6.7E-10
O43557_P08138	-12.2	1.0E-09
O43557_P19438	-11.9	1.9E-09
O43557_P20333	-11.8	2.1E-09
O43557_P25445	-10.7	1.3E-08
O43557_P25942	-9.8	7.0E-08
O43557_P26842	-11.2	5.6E-09
O43557_P28908	-8.8	3.4E-07
O43557_P36941	-9.7	7.7E-08
O43557_P43489	-11.6	3.1E-09
O43557_Q9Y6Q6	-12.1	1.4E-09
O43557_Q92956	-10.5	1.8E-08
P32970_O00300	-15.7	3.3E-12	
P32970_O14763	-11.5	3.8E-09	
P32970_P08138	-15.2	7.7E-12	
P32970_P19438	-14.7	1.6E-11	
P32970_P20333	-12.9	3.6E-10	
P32970_P25445	-13.0	2.9E-10	
P32970_P25942	-11.8	2.2E-09	
P32970_P26842	-11.3	5.0E-09	
P32970_P28908	-15.9	2.0E-12	
P32970_Q9Y6Q6	-12.8	3.8E-10	
P32971_P20333	-15.8	2.5E-12
P32971_P28908	-18.0	6.4E-14
P29965_O14836	-7.4	3.6E-06
P29965_P08138	-11.5	3.7E-09
P29965_P19438	-12.1	1.4E-09
P29965_P20333	-11.7	2.8E-09
P29965_P25445	-10.6	1.6E-08
P29965_P25942	-9.8	6.1E-08
P29965_P26842	-9.8	7.0E-08
P29965_P28908	-11.4	4.7E-09
P29965_P43489	-11.1	6.9E-09
P29965_Q9Y6Q6	-12.6	6.1E-10
P29965_Q92956	-10.7	1.4E-08
P41273_Q07011	-11.8	2.2E-09
P23510_P08138	-9.6	9.7E-08	
P23510_P19438	-10.9	1.1E-08	
P23510_P20333	-11.4	4.5E-09	
P23510_P25942	-8.6	4.7E-07	
P23510_P26842	-10.3	2.9E-08	
P23510_P28908	-9.7	7.7E-08	
P23510_P43489	-10.0	4.6E-08	
P23510_Q92956	-10.7	1.5E-08	
P23510_Q9HAV5	-9.7	7.6E-08	
Q9UNG2_Q9Y5U5	-10.0	4.7E-08
Q9UNG2_P26842	-7.5	3.4E-06
O75888_O00300	-11.2	5.7E-09
O75888_P19438	-9.2	1.7E-07
O75888_O14836	-6.1	3.4E-05
O75888_P20333	-8.4	6.6E-07
O75888_P25445	-7.8	1.8E-06
O75888_P25942	-8.4	7.4E-07
O75888_P26842	-7.0	6.8E-06
O75888_P43489	-7.9	1.5E-06
O75888_Q9Y6Q6	-9.7	7.1E-08
O75888_Q92956	-7.7	2.4E-06
Q9Y275_P19438	-16.9	4.0E-13
Q9Y275_P20333	-14.9	1.3E-11
Q9Y275_P25445	-9.6	8.9E-08
Q9Y275_P08138	-17.4	1.8E-13
Q9Y275_Q92956	-13.6	1.1E-10
Q9Y275_P26842	-8.2	1.0E-06
Q9Y275_P25942	-8.3	8.1E-07
Q9Y275_P43489	-15.1	8.1E-12
Q9Y275_O14836	-8.2	9.1E-07
